mp-865662,8.56
mp-865855,0.67
mp-865875,-96.99
mp-865896,0.43
mp-865897,0.17
mp-865919,10.86
mp-865963,3.63
mp-866008,1.6
mp-866018,0.15
mp-866056,0.73
mp-866162,0.23
mp-866199,0.07
mp-866222,0.34
mp-866286,1.72
mp-866291,4.68
mp-8666,0.65
mp-867112,0.06
mp-867163,0.05
mp-867186,0.09
mp-867241,0.97
mp-867254,3.97
mp-867303,7.77
mp-867341,6.58
mp-867347,-3.2
mp-867372,0.41
mp-867422,0.25
mp-867801,-6.32
mp-867815,0.18
mp-867868,0.04
mp-867869,0.0
mp-867925,0.11
mp-869,0.18
mp-875,0.4
mp-8911,1.86
mp-944,4.52
mp-9440,0.41
mp-9472,7.97
mp-9490,1.9
mp-9631,5.47
mp-969,0.0
mp-971703,4.39
mp-971924,0.25
mp-971979,0.82
mp-972002,0.21
mp-972511,1.25
mp-972528,0.31
mp-972530,0.16
mp-972536,9.1
mp-972680,0.1
mp-972882,4.4
mp-972907,2.09
mp-972945,0.21
mp-973088,0.14
mp-973174,2.33
mp-973185,4.08
mp-973442,0.09
mp-973653,1.12
mp-973956,4.74
mp-973957,2.32
mp-974387,5.77
mp-974642,-4.8
mp-974782,3.11
mp-975055,-3.66
mp-975463,0.32
mp-975788,1.6
mp-975801,1.99
mp-976076,2.74
mp-976229,1.02
mp-976333,0.96
mp-976341,1.07
mp-976407,-2.95
mp-976408,20.2
mp-976772,1.65
mp-977126,2.66
mp-977398,14.36
mp-977404,0.17
mp-977444,-5.44
mp-977455,1.65
mp-977554,1.96
mp-9776,0.28
mp-9778,1.66
mp-978083,1.02
mp-978100,2.08
mp-978498,0.38
mp-978524,-4.65
mp-978545,1.93
mp-978907,28.25
mp-978953,1.75
mp-979057,1.57
mp-979270,0.0
mp-979294,1.05
mp-979425,0.16
mp-979950,1.49
mp-979961,0.68
mp-979962,0.58
mp-979989,0.15
mp-981749,3.27
mp-982010,1.94
mp-982393,1.15
mp-983566,-5.9
mp-983567,0.2
mp-983585,-10.33
mp-983586,0.23
mp-983602,-313.64
mp-984351,1.98
mp-984551,2.33
mp-984719,81.24
mp-984785,0.62
mp-985292,-51.35
mp-985295,0.24
mp-985296,2.14
mp-985299,-5.2
mp-985302,0.07
mp-985303,0.07
mp-985443,-11.86
mp-985805,0.33
mp-985806,0.42
mp-985828,3.01
mp-996960,8.63
mp-996964,0.27
mp-996965,2.87
mp-996975,7.22
mp-996979,2.0
mp-996980,17.15
mp-996983,5.46
mp-996988,-16.16
mp-996990,0.68
mp-996992,3.13
mp-996995,3.47
mp-997004,-3.15
mp-997006,1.99
mp-997010,3.98
mp-997030,0.21
mp-997084,12.2
mp-997085,2.81
mp-997086,0.79
mp-997100,3.17
mp-997108,5.64
mp-998201,0.24
mp-998414,0.12
mp-998554,0.54
mp-998860,-5.14
mp-999197,-51.18
mp-10010,0.27
mp-10036,0.17
mp-10037,0.42
mp-10039,0.02
mp-10040,-8.1
mp-1007730,0.02
mp-1008554,1.1
mp-1008557,0.51
mp-1014462,-6.87
mp-10163,-37.94
mp-10165,0.72
mp-10166,-42.26
mp-1018100,0.21
mp-1018101,5.65
mp-1018132,0.48
mp-1018179,0.97
mp-1018674,1.02
mp-1019380,0.58
mp-1019508,1.01
mp-1021666,-16.63
mp-1022721,-5.07
mp-1029733,1.23
mp-10405,0.29
mp-10435,0.83
mp-10521,1.39
mp-10528,0.46
mp-1057,0.05
mp-10600,0.01
mp-10669,0.53
